Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
valentines-bundle,Valentine's Day Bundle,,Lucky Fours,,,,TRUE,Title,Default Title,,,,,,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/Group_1.webp?v=1769858619,1,Valentine's Day Bundle,FALSE,Valentine's Day Bundle,,,,,,,,,g,,,,,,,,,active
laurent,Lucky Fours® Laurent,<p>Lucky Fours® Laurent</p>,Lucky Fours,,,,TRUE,Color,Cobalt,,,,,,0,shopify,0,deny,manual,139.99,249.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/1.22033.webp?v=1755883327,1,Lucky Fours® Laurent,FALSE,Lucky Fours® Laurent,Lucky Fours® Laurent,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/1.22033.webp?v=1755883327,g,,,,,,,,,active
laurent,,,,,,,,Color,Emerald,,,,,,0,shopify,0,deny,manual,139.99,249.99,TRUE,TRUE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/1.22030.webp?v=1755883327,g,,,,,,,,,
laurent,,,,,,,,Color,Amethyst,,,,,,0,shopify,100,deny,manual,139.99,249.99,TRUE,TRUE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/1.22032.webp?v=1755883327,g,,,,,,,,,
laurent,,,,,,,,Color,Saffron,,,,,,0,shopify,100,deny,manual,139.99,249.99,TRUE,TRUE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/1.22031.webp?v=1755883327,g,,,,,,,,,
laurent,,,,,,,,Color,Ice,,,,,,0,shopify,0,deny,manual,139.99,249.99,TRUE,TRUE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/1.22028.webp?v=1755883327,g,,,,,,,,,
laurent,,,,,,,,Color,Noir,,,,,,0,shopify,0,deny,manual,139.99,249.99,TRUE,TRUE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/1.22029.webp?v=1755883327,g,,,,,,,,,
laurent,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/6_45500119-bb8a-49f8-b18c-c3f161156b15.webp?v=1755883327,2,Lucky Fours® Laurent,,,,,,,,,,,,,,,,,,,,
laurent,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/7_9896bd5b-724a-4f90-8a25-ffe029e259ba.webp?v=1755883327,3,Lucky Fours® Laurent,,,,,,,,,,,,,,,,,,,,
laurent,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/8_0315243a-c14d-4deb-bba7-9ebbfbf5f91a.webp?v=1755883327,4,Lucky Fours® Laurent,,,,,,,,,,,,,,,,,,,,
laurent,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/9_d36bb01e-b3ca-4850-953c-b45f140c780c.webp?v=1755883327,5,Lucky Fours® Laurent,,,,,,,,,,,,,,,,,,,,
laurent,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/5_34127af5-62b4-436f-9161-c05aa80fc441.webp?v=1755883327,6,Lucky Fours® Laurent,,,,,,,,,,,,,,,,,,,,
laurent,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/6_7d866dd6-8785-4b76-b5a1-0934a7e92c5a.webp?v=1755883327,7,Lucky Fours® Laurent,,,,,,,,,,,,,,,,,,,,
laurent,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/1_684f187b-8ba4-4c35-af45-d4d6613df0d0.webp?v=1755883327,8,Lucky Fours® Laurent,,,,,,,,,,,,,,,,,,,,
laurent,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/8_0d71b562-ad95-4710-881e-e1eaea552a18.webp?v=1755883327,9,Lucky Fours® Laurent,,,,,,,,,,,,,,,,,,,,
laurent,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/1.22034.webp?v=1755883327,10,Lucky Fours® Laurent,,,,,,,,,,,,,,,,,,,,
laurent,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/1.22021.webp?v=1755883327,11,Lucky Fours® Laurent,,,,,,,,,,,,,,,,,,,,
laurent,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/1.22028.webp?v=1755883327,12,Lucky Fours® Laurent,,,,,,,,,,,,,,,,,,,,
laurent,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/1.22029.webp?v=1755883327,13,Lucky Fours® Laurent,,,,,,,,,,,,,,,,,,,,
laurent,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/1.22030.webp?v=1755883327,14,Lucky Fours® Laurent,,,,,,,,,,,,,,,,,,,,
laurent,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/1.22032.webp?v=1755883327,15,Lucky Fours® Laurent,,,,,,,,,,,,,,,,,,,,
laurent,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0758/5333/2777/files/1.22031.webp?v=1755883327,16,Lucky Fours® Laurent,,,,,,,,,,,,,,,,,,,,
